"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
2023,"Ajaccio","Ligue 1","team",36,29.1,43.2,38,418,3420,38,22,12,34,16,6,9,86,10,36.1,29.4,22.7,52.1,487,1169,0.58,0.32,0.89,0.42,0.74,0.95,0.6,1.55,0.77,1.37,"https://fbref.com/en/squads/7a54bb4f/Ajaccio-Stats"
2023,"Ajaccio","Ligue 1","opponent",36,26.1,56.8,38,418,3420,38,72,49,121,63,9,10,69,8,53.9,46.2,35,81.2,636,1696,1.89,1.29,3.18,1.66,2.95,1.42,0.92,2.34,1.22,2.14,"https://fbref.com/en/squads/7a54bb4f/Ajaccio-Stats"
2023,"Almería","La Liga","team",29,26.4,45.1,38,418,3420,38,49,33,82,47,2,3,98,4,45.5,43.2,32.5,75.6,569,1090,1.29,0.87,2.16,1.24,2.11,1.2,0.85,2.05,1.14,1.99,"https://fbref.com/en/squads/78ecf4bb/Almeria-Stats"
2023,"Almería","La Liga","opponent",29,27.6,54.9,38,418,3420,38,64,49,113,60,4,6,93,5,62.5,57.8,49.5,107.4,860,1706,1.68,1.29,2.97,1.58,2.87,1.65,1.3,2.95,1.52,2.83,"https://fbref.com/en/squads/78ecf4bb/Almeria-Stats"
2023,"Angers","Ligue 1","team",33,25.7,46.9,38,418,3420,38,31,18,49,27,4,4,69,5,40.9,37.8,28,65.7,632,1393,0.82,0.47,1.29,0.71,1.18,1.08,0.74,1.81,0.99,1.73,"https://fbref.com/en/squads/69236f98/Angers-Stats"
2023,"Angers","Ligue 1","opponent",33,26.5,53.1,38,418,3420,38,77,57,134,68,9,11,59,6,61.7,53.2,42.2,95.5,725,1600,2.03,1.5,3.53,1.79,3.29,1.62,1.11,2.74,1.4,2.51,"https://fbref.com/en/squads/69236f98/Angers-Stats"
2023,"Arsenal","Premier League","team",26,24.7,59.3,38,418,3420,38,84,64,148,81,3,4,51,0,71.9,69.1,53.8,122.9,824,2049,2.21,1.68,3.89,2.13,3.82,1.89,1.41,3.31,1.82,3.23,"https://fbref.com/en/squads/18bb7c10/Arsenal-Stats"
2023,"Arsenal","Premier League","opponent",26,26.7,40.1,38,418,3420,38,42,27,69,39,3,5,84,1,42,38,31.6,69.6,510,907,1.11,0.71,1.82,1.03,1.74,1.1,0.83,1.93,1,1.83,"https://fbref.com/en/squads/18bb7c10/Arsenal-Stats"
2023,"Aston Villa","Premier League","team",26,27,49.3,38,418,3420,38,49,35,84,46,3,4,80,1,50.2,47.2,38.8,86,637,1242,1.29,0.92,2.21,1.21,2.13,1.32,1.02,2.34,1.24,2.26,"https://fbref.com/en/squads/8602292d/Aston-Villa-Stats"
2023,"Aston Villa","Premier League","opponent",26,26.5,50.6,38,418,3420,38,42,25,67,37,5,6,85,3,52.5,47.9,36.1,84,607,1323,1.11,0.66,1.76,0.97,1.63,1.38,0.95,2.33,1.26,2.21,"https://fbref.com/en/squads/8602292d/Aston-Villa-Stats"
2023,"Atalanta","Serie A","team",27,26.5,49.9,38,418,3420,38,64,42,106,58,6,8,83,3,57.7,51.3,42.7,93.9,687,1637,1.68,1.11,2.79,1.53,2.63,1.52,1.12,2.64,1.35,2.47,"https://fbref.com/en/squads/922493f3/Atalanta-Stats"
2023,"Atalanta","Serie A","opponent",27,26.5,50.1,38,418,3420,38,46,35,81,43,3,3,83,1,41.4,39.2,30.5,69.7,595,1264,1.21,0.92,2.13,1.13,2.05,1.09,0.8,1.89,1.03,1.83,"https://fbref.com/en/squads/922493f3/Atalanta-Stats"
2023,"Athletic Club","La Liga","team",26,27.4,51.6,38,418,3420,38,46,33,79,41,5,7,81,5,54.2,48.7,38.9,87.6,864,1816,1.21,0.87,2.08,1.08,1.95,1.43,1.02,2.45,1.28,2.31,"https://fbref.com/en/squads/2b390eca/Athletic-Club-Stats"
2023,"Athletic Club","La Liga","opponent",26,27.3,48.4,38,418,3420,38,40,28,68,37,3,3,97,3,36.9,34.5,26.9,61.4,549,1211,1.05,0.74,1.79,0.97,1.71,0.97,0.71,1.68,0.91,1.62,"https://fbref.com/en/squads/2b390eca/Athletic-Club-Stats"
2023,"Atlético Madrid","La Liga","team",27,28.5,50.6,38,418,3420,38,68,51,119,67,1,1,92,8,62.3,61.5,48.5,110,730,1571,1.79,1.34,3.13,1.76,3.11,1.64,1.28,2.91,1.62,2.89,"https://fbref.com/en/squads/db3b9613/Atletico-Madrid-Stats"
2023,"Atlético Madrid","La Liga","opponent",27,27,49.4,38,418,3420,38,33,22,55,29,4,5,93,6,41.3,37.4,31.5,68.9,729,1634,0.87,0.58,1.45,0.76,1.34,1.09,0.83,1.92,0.98,1.81,"https://fbref.com/en/squads/db3b9613/Atletico-Madrid-Stats"
2023,"Augsburg","Bundesliga","team",34,25.9,41.7,34,374,3060,34,41,29,70,37,4,5,96,5,34.7,30.9,24.3,55.2,331,847,1.21,0.85,2.06,1.09,1.94,1.02,0.71,1.74,0.91,1.62,"https://fbref.com/en/squads/0cdc4311/Augsburg-Stats"
2023,"Augsburg","Bundesliga","opponent",34,26.5,58.3,34,374,3060,34,61,46,107,60,1,4,66,0,58.8,55.7,45.7,101.3,597,1458,1.79,1.35,3.15,1.76,3.12,1.73,1.34,3.07,1.64,2.98,"https://fbref.com/en/squads/0cdc4311/Augsburg-Stats"
2023,"Auxerre","Ligue 1","team",33,27.3,43.3,38,418,3420,38,32,17,49,25,7,9,54,6,42.7,35.7,27.2,62.9,531,1284,0.84,0.45,1.29,0.66,1.11,1.12,0.72,1.84,0.94,1.65,"https://fbref.com/en/squads/5ae09109/Auxerre-Stats"
2023,"Auxerre","Ligue 1","opponent",33,26.4,56.7,38,418,3420,38,62,45,107,58,4,6,47,3,58.9,54.7,45.1,99.9,669,1837,1.63,1.18,2.82,1.53,2.71,1.55,1.19,2.74,1.44,2.63,"https://fbref.com/en/squads/5ae09109/Auxerre-Stats"
2023,"Barcelona","La Liga","team",29,25.9,64.3,38,418,3420,38,69,56,125,69,0,2,83,6,75.5,74,60.1,134.1,963,2180,1.82,1.47,3.29,1.82,3.29,1.99,1.58,3.57,1.95,3.53,"https://fbref.com/en/squads/206d90db/Barcelona-Stats"
2023,"Barcelona","La Liga","opponent",29,27.4,35.7,38,418,3420,38,17,10,27,14,3,3,93,8,33.2,30.8,23,53.9,474,955,0.45,0.26,0.71,0.37,0.63,0.87,0.61,1.48,0.81,1.42,"https://fbref.com/en/squads/206d90db/Barcelona-Stats"
2023,"Bayern Munich","Bundesliga","team",28,26.6,64.2,34,374,3060,34,90,67,157,87,3,5,49,3,75,71,56.6,127.7,863,2041,2.65,1.97,4.62,2.56,4.53,2.2,1.67,3.87,2.09,3.75,"https://fbref.com/en/squads/054efa67/Bayern-Munich-Stats"
2023,"Bayern Munich","Bundesliga","opponent",28,26.6,35.8,34,374,3060,34,38,22,60,29,9,10,50,0,37.1,29.7,21.9,51.6,354,879,1.12,0.65,1.76,0.85,1.5,1.09,0.65,1.74,0.87,1.52,"https://fbref.com/en/squads/054efa67/Bayern-Munich-Stats"
2023,"Betis","La Liga","team",30,28.6,50.6,38,418,3420,38,43,26,69,35,8,9,82,15,51.8,44.8,35.1,79.9,620,1272,1.13,0.68,1.82,0.92,1.61,1.36,0.92,2.29,1.18,2.1,"https://fbref.com/en/squads/fc536746/Real-Betis-Stats"
2023,"Betis","La Liga","opponent",30,27.3,49.4,38,418,3420,38,40,28,68,37,3,3,99,8,50.1,47.7,36.9,84.7,750,1571,1.05,0.74,1.79,0.97,1.71,1.32,0.97,2.29,1.26,2.23,"https://fbref.com/en/squads/fc536746/Real-Betis-Stats"
2023,"Bochum","Bundesliga","team",26,29.4,46.1,34,374,3060,34,37,28,65,34,3,3,64,1,40,37.7,28.4,66,350,1022,1.09,0.82,1.91,1,1.82,1.18,0.83,2.01,1.11,1.94,"https://fbref.com/en/squads/b42c6323/Bochum-Stats"
2023,"Bochum","Bundesliga","opponent",26,26.3,53.9,34,374,3060,34,69,40,109,61,8,14,62,2,65.7,54.5,39.4,93.9,525,1247,2.03,1.18,3.21,1.79,2.97,1.93,1.16,3.09,1.6,2.76,"https://fbref.com/en/squads/b42c6323/Bochum-Stats"
2023,"Bologna","Serie A","team",27,26.6,54.7,38,418,3420,38,52,41,93,46,6,6,84,3,43.8,39.4,31.5,70.9,564,1366,1.37,1.08,2.45,1.21,2.29,1.15,0.83,1.98,1.04,1.87,"https://fbref.com/en/squads/1d8099f8/Bologna-Stats"
2023,"Bologna","Serie A","opponent",27,26.6,45.3,38,418,3420,38,46,29,75,39,7,9,84,2,48.7,41.7,31.6,73.3,565,1294,1.21,0.76,1.97,1.03,1.79,1.28,0.83,2.11,1.1,1.93,"https://fbref.com/en/squads/1d8099f8/Bologna-Stats"
2023,"Bournemouth","Premier League","team",31,26.3,40.4,38,418,3420,38,37,24,61,37,0,0,68,0,38.6,38.6,28.5,67.1,504,1006,0.97,0.63,1.61,0.97,1.61,1.02,0.75,1.76,1.02,1.76,"https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats"
2023,"Bournemouth","Premier League","opponent",31,26.6,59.9,38,418,3420,38,68,49,117,62,6,7,51,0,63.9,58.4,45.3,103.8,810,1988,1.79,1.29,3.08,1.63,2.92,1.68,1.19,2.87,1.54,2.73,"https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats"
2023,"Brentford","Premier League","team",25,26.2,43.8,38,418,3420,38,56,36,92,49,7,8,57,1,56.8,50.6,38.7,89.2,392,1131,1.47,0.95,2.42,1.29,2.24,1.49,1.02,2.51,1.33,2.35,"https://fbref.com/en/squads/cd051869/Brentford-Stats"
2023,"Brentford","Premier League","opponent",25,26.6,56.6,38,418,3420,38,43,30,73,41,2,2,61,1,49.9,48.7,36.8,85.5,741,1540,1.13,0.79,1.92,1.08,1.87,1.31,0.97,2.28,1.28,2.25,"https://fbref.com/en/squads/cd051869/Brentford-Stats"
2023,"Brest","Ligue 1","team",29,26.6,44.9,38,418,3420,38,43,28,71,36,7,8,63,2,43.3,37.1,29.6,66.7,592,1311,1.13,0.74,1.87,0.95,1.68,1.14,0.78,1.92,0.98,1.76,"https://fbref.com/en/squads/fb08dbb3/Brest-Stats"
2023,"Brest","Ligue 1","opponent",29,26.1,55.1,38,418,3420,38,52,34,86,45,7,9,76,7,56,49,38.1,87.1,686,1926,1.37,0.89,2.26,1.18,2.08,1.47,1,2.48,1.29,2.29,"https://fbref.com/en/squads/fb08dbb3/Brest-Stats"
2023,"Brighton","Premier League","team",29,26.3,60.2,38,418,3420,38,68,46,114,62,6,6,58,0,73.3,68.9,52.2,121.2,809,1849,1.79,1.21,3,1.63,2.84,1.93,1.37,3.3,1.81,3.19,"https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats"
2023,"Brighton","Premier League","opponent",29,26.5,39.5,38,418,3420,38,47,34,81,41,6,8,92,1,50.2,43.7,33.7,77.4,527,1026,1.24,0.89,2.13,1.08,1.97,1.32,0.89,2.21,1.15,2.04,"https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats"
2023,"Celta Vigo","La Liga","team",26,26.7,50.2,38,418,3420,38,41,31,72,39,2,3,85,6,42.8,40.4,30.9,71.4,704,1403,1.08,0.82,1.89,1.03,1.84,1.13,0.81,1.94,1.06,1.88,"https://fbref.com/en/squads/f25da7fb/Celta-Vigo-Stats"
2023,"Celta Vigo","La Liga","opponent",26,27.6,49.8,38,418,3420,38,52,35,87,47,5,8,112,9,45.5,39.3,30.6,69.8,536,1297,1.37,0.92,2.29,1.24,2.16,1.2,0.8,2,1.03,1.84,"https://fbref.com/en/squads/f25da7fb/Celta-Vigo-Stats"
2023,"Chelsea","Premier League","team",32,26.3,58.7,38,418,3420,38,37,27,64,34,3,3,81,3,49.5,47.2,38.6,85.8,829,1737,0.97,0.71,1.68,0.89,1.61,1.3,1.02,2.32,1.24,2.26,"https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats"
2023,"Chelsea","Premier League","opponent",32,26.6,41,38,418,3420,38,44,32,76,43,1,1,69,1,52.5,51.7,39.9,91.7,593,1203,1.16,0.84,2,1.13,1.97,1.38,1.05,2.43,1.36,2.41,"https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats"
2023,"Clermont Foot","Ligue 1","team",28,27.2,48.3,38,418,3420,38,44,26,70,37,7,10,72,5,47.5,39.6,27.7,67.4,532,1304,1.16,0.68,1.84,0.97,1.66,1.25,0.73,1.98,1.04,1.77,"https://fbref.com/en/squads/d9676424/Clermont-Foot-Stats"
2023,"Clermont Foot","Ligue 1","opponent",28,26.3,51.7,38,418,3420,38,49,33,82,41,8,12,76,9,58.2,48.7,35.4,84.1,646,1688,1.29,0.87,2.16,1.08,1.95,1.53,0.93,2.46,1.28,2.21,"https://fbref.com/en/squads/d9676424/Clermont-Foot-Stats"
2023,"Cremonese","Serie A","team",33,26,42.1,38,418,3420,38,35,18,53,30,5,7,81,3,38.7,33.2,24.3,57.5,521,1107,0.92,0.47,1.39,0.79,1.26,1.02,0.64,1.66,0.87,1.51,"https://fbref.com/en/squads/9aad3a77/Cremonese-Stats"
2023,"Cremonese","Serie A","opponent",33,26.6,57.9,38,418,3420,38,68,46,114,63,5,5,66,1,66.1,62.2,49.1,111.2,763,1615,1.79,1.21,3,1.66,2.87,1.74,1.29,3.03,1.64,2.93,"https://fbref.com/en/squads/9aad3a77/Cremonese-Stats"
2023,"Crystal Palace","Premier League","team",26,26.7,46.3,38,418,3420,38,38,29,67,37,1,3,82,3,39.3,36.8,29,65.8,556,1243,1,0.76,1.76,0.97,1.74,1.03,0.76,1.8,0.97,1.73,"https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats"
2023,"Crystal Palace","Premier League","opponent",26,26.6,53.9,38,418,3420,38,46,32,78,42,4,4,83,3,48.1,44.9,34.5,79.4,590,1592,1.21,0.84,2.05,1.11,1.95,1.26,0.91,2.17,1.18,2.09,"https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats"
2023,"Cádiz","La Liga","team",38,29.1,41.9,38,418,3420,38,29,20,49,25,4,5,116,7,41.6,37.7,27.8,65.5,475,969,0.76,0.53,1.29,0.66,1.18,1.09,0.73,1.82,0.99,1.72,"https://fbref.com/en/squads/ee7c297c/Cadiz-Stats"
2023,"Cádiz","La Liga","opponent",38,27.2,58.1,38,418,3420,38,53,32,85,44,9,10,100,11,61.4,53.6,38.2,91.8,823,1739,1.39,0.84,2.24,1.16,2,1.62,1.01,2.62,1.41,2.42,"https://fbref.com/en/squads/ee7c297c/Cadiz-Stats"
2023,"Dortmund","Bundesliga","team",30,25.8,58.2,34,374,3060,34,81,61,142,77,4,6,66,0,71.1,66.5,51.9,118.4,783,1628,2.38,1.79,4.18,2.26,4.06,2.09,1.53,3.62,1.96,3.48,"https://fbref.com/en/squads/add600ae/Dortmund-Stats"
2023,"Dortmund","Bundesliga","opponent",30,26.5,41.8,34,374,3060,34,43,31,74,42,1,1,79,5,43.2,42.4,33.3,75.7,452,1064,1.26,0.91,2.18,1.24,2.15,1.27,0.98,2.25,1.25,2.23,"https://fbref.com/en/squads/add600ae/Dortmund-Stats"
2023,"Eint Frankfurt","Bundesliga","team",28,26.4,52.9,34,374,3060,34,56,33,89,50,6,6,71,1,52.1,47.4,36.2,83.5,632,1372,1.65,0.97,2.62,1.47,2.44,1.53,1.06,2.6,1.39,2.46,"https://fbref.com/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats"
2023,"Eint Frankfurt","Bundesliga","opponent",28,26.4,47.1,34,374,3060,34,51,41,92,49,2,2,78,2,43.5,41.9,33.6,75.5,435,1129,1.5,1.21,2.71,1.44,2.65,1.28,0.99,2.27,1.23,2.22,"https://fbref.com/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats"
2023,"Elche","La Liga","team",32,28.3,45.5,38,418,3420,38,30,21,51,26,4,5,99,12,37.5,33.6,27.1,60.7,561,1197,0.79,0.55,1.34,0.68,1.24,0.99,0.71,1.7,0.88,1.6,"https://fbref.com/en/squads/6c8b07df/Elche-Stats"
2023,"Elche","La Liga","opponent",32,27.3,54.5,38,418,3420,38,65,44,109,58,7,10,83,8,70,62.1,48.7,110.9,737,1615,1.71,1.16,2.87,1.53,2.68,1.84,1.28,3.13,1.64,2.92,"https://fbref.com/en/squads/6c8b07df/Elche-Stats"
2023,"Empoli","Serie A","team",32,25.3,47.3,38,418,3420,38,35,20,55,33,2,2,88,7,38.8,37.2,26.8,64,608,1114,0.92,0.53,1.45,0.87,1.39,1.02,0.71,1.73,0.98,1.69,"https://fbref.com/en/squads/a3d88bd8/Empoli-Stats"
2023,"Empoli","Serie A","opponent",32,26.7,52.7,38,418,3420,38,48,32,80,44,4,6,84,5,58.3,53.7,40.7,94.4,830,1684,1.26,0.84,2.11,1.16,2,1.53,1.07,2.6,1.41,2.48,"https://fbref.com/en/squads/a3d88bd8/Empoli-Stats"
2023,"Espanyol","La Liga","team",33,27.6,43.1,38,418,3420,38,51,31,82,46,5,5,99,10,48.3,44.4,35,79.4,528,1146,1.34,0.82,2.16,1.21,2.03,1.27,0.92,2.19,1.17,2.09,"https://fbref.com/en/squads/a8661628/Espanyol-Stats"
2023,"Espanyol","La Liga","opponent",33,27.6,56.9,38,418,3420,38,67,47,114,62,5,6,111,8,59.8,55.3,44.6,99.8,748,1634,1.76,1.24,3,1.63,2.87,1.57,1.17,2.75,1.45,2.63,"https://fbref.com/en/squads/a8661628/Espanyol-Stats"
2023,"Everton","Premier League","team",28,26.6,42.8,38,418,3420,38,32,24,56,29,3,3,81,2,45.2,42.8,32.4,75.1,500,1052,0.84,0.63,1.47,0.76,1.39,1.19,0.85,2.04,1.13,1.98,"https://fbref.com/en/squads/d3fd31cc/Everton-Stats"
2023,"Everton","Premier League","opponent",28,26.5,57.4,38,418,3420,38,57,36,93,52,5,6,76,1,65.7,61.1,45.7,106.8,752,1678,1.5,0.95,2.45,1.37,2.32,1.73,1.2,2.93,1.61,2.81,"https://fbref.com/en/squads/d3fd31cc/Everton-Stats"
2023,"Fiorentina","Serie A","team",30,26.5,56.1,38,418,3420,38,51,37,88,47,4,6,93,3,55,50.8,40.2,91,789,1627,1.34,0.97,2.32,1.24,2.21,1.45,1.06,2.51,1.34,2.39,"https://fbref.com/en/squads/421387cf/Fiorentina-Stats"
